,Madera sintética color Blanca Colourmix  150mm x 25mm x 5.8m,UND,"RD$2,900.00","RD$2,457.63",,Plasticos Comerciales - Materiales generales
,Madera sintética Gris Oscuro Colourmix 147mm x 25mm x 5.8m,UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck latitudes - reversible color Cedro  1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck latitudes - reversible color  gris  1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck latitudes - reversible color Secoya-rojo  1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck latitudes - reversible color Nogal   1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Duralife  Teca-Hard wood Golden teak  0.9"" x 5.5"" x 16'",UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Duralife  Teca-Siesta Starter   0.9"" x 5.5"" x 16'",UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Duralife  Cedar-Edge  0.9"" x 5.5"" x 20'",UND,"RD$2,800.00","RD$2,372.88",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Duralife  Spanish Cedar MVP Ranurado  0.9"" x 5.5"" x 16'",UND,"RD$2,280.00","RD$1,932.20",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Duralife  Spanish Cedar MVP Ranurado  0.9"" x 5.5"" x 20'",UND,"RD$2,850.00","RD$2,415.25",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Duralife Brazilian Cherry  1/2"" x 11-1/2"" x 12'",UND,"RD$2,995.00","RD$2,538.14",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Captiva  Cedro  1-1/4"" X 6' X 20'",UND,"RD$3,300.00","RD$2,796.61",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Capricorn  Koa 1-1/4"" x 6"" X 20'",UND,"RD$3,300.00","RD$2,796.61",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Capricorn Arábica 15/16"" x 5-7/16"" x 16'",UND,"RD$2,640.00","RD$2,237.29",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Capricorn Arábica 15/16"" x 5-7/16"" x 20'",UND,"RD$3,300.00","RD$2,796.61",,Plasticos Comerciales - Materiales generales
,"Madera sintética Deck Capricorn Arábica sólida 15/16"" x 5-7/16"" x 16'",UND,"RD$2,900.00","RD$2,457.63",,Plasticos Comerciales - Materiales generales
,Clip con tornillos para Madera Sintética ,UND,RD$32.00,RD$27.12,,Plasticos Comerciales - Materiales generales
,Clips con tornillos Stowaway para Madera sintetica,UND,RD$38.00,RD$32.20,,Plasticos Comerciales - Materiales generales
,"Plancha plywood 2 caras 3/4"" americana",UND,"RD$4,100.00","RD$3,474.58",,MINIBANNER CON LINK
,"Plancha plywood 1 cara 3/4"" americana",UND,"RD$3,100.00","RD$2,627.12",,MINIBANNER CON LINK
,"Plancha plywood 2 caras 3/4"" brasil",UND,"RD$2,400.00","RD$2,033.90",,MINIBANNER CON LINK
,Clavos corriente con cabeza,LB,RD$52.00,RD$44.07,,MINIBANNER CON LINK
,Clavos de acero,LB,RD$83.00,RD$70.34,,
,"Soga de Nylon 1/16"" a 1""",LB,RD$120.00,RD$101.69,,MINIBANNER CON LINK
,Hilo de Gangorra - Cono,UND,RD$175.00,RD$148.31,,MINIBANNER CON LINK
,Hojas de segueta,UND,RD$80.00,RD$67.80,,MINIBANNER CON LINK
,,,,,,
,HORMIGON INDUSTRIALES ,,,,,
,Hormigón 180 Kg/cm2 (incluye bomba y colocación),M3,"RD$7,250.00","RD$6,144.07",,MINIBANNER CON LINK
,Hormigón 210 Kg/cm2 (incluye bomba y colocación),M3,"RD$7,880.00","RD$6,677.97",,MINIBANNER CON LINK
,Hormigón 240 Kg/cm2 (incluye bomba y colocación),M3,"RD$8,350.52","RD$7,076.71",,MINIBANNER CON LINK
,Hormigón 280 Kg/cm2 (incluye bomba y colocación),M3,"RD$8,931.48","RD$7,569.05",,MINIBANNER CON LINK
,Hormigón 300 Kg/cm2 (incluye bomba y colocación),M3,"RD$9,385.08","RD$7,953.46",,MINIBANNER CON LINK
,Hormigón 350 Kg/cm2 (incluye bomba y colocación),M3,"RD$9,583.13","RD$8,121.30",,MINIBANNER CON LINK
,Hormigón 400 Kg/cm2 (incluye bomba y colocación),M3,"RD$9,797.82","RD$8,303.24",,MINIBANNER CON LINK
,Hormigón 450 Kg/cm2 (incluye bomba y colocación),M3,"RD$9,985.67","RD$8,462.43",,MINIBANNER CON LINK
,Hormigón 500 Kg/cm2 (incluye bomba y colocación),M3,"RD$10,249.79","RD$8,686.26",,MINIBANNER CON LINK
,Bombeado y Colocación,M3,"RD$1,900.00","RD$1,610.17",,MINIBANNER CON LINK
,Instalación Bomba,U,"RD$12,500.00","RD$10,593.22",,MINIBANNER CON LINK
,,,,,,
,BLOQUES DE HORMIGON,,,,,
,"Bloques industrial de 4"" x 8"" x 16""",UND,RD$39.00,RD$33.05,,MINIBANNER CON LINK
,"Bloques industrial de 5"" x 8"" x 16""",UND,RD$41.00,RD$34.75,,MINIBANNER CON LINK
,"Bloques industrial de 6"" x 8"" x 16""",UND,RD$45.00,RD$38.14,,MINIBANNER CON LINK
,"Bloques industrial de 8"" x 8"" x 16""",UND,RD$55.00,RD$46.61,,MINIBANNER CON LINK
,,,,,,
,BOVEDILLAS FOAM,,,,,
,Bovedillas de Foam 0.50x0.50x0.15m (incluye transp.),UND,RD$171.30,RD$145.17,1 camión tranp. 50m3,MINIBANNER CON LINK
,Bovedillas de Foam - Cualquier tamaño - Precio por M3,M3,"RD$4,567.96","RD$3,871.15",1 camión tranp. 50m3,MINIBANNER CON LINK
,,,,,,
,PULIDO Y ESTAMPADO CON HELICOPTERO,,,,,
,Pulido con helicóptero,M2,RD$243.00,RD$205.93,,MINIBANNER CON LINK
,Estampado - rayado profundo,M2,RD$335.00,RD$283.90,,MINIBANNER CON LINK
,Estampado - rayado con escobillon,M2,RD$295.00,RD$250.00,,MINIBANNER CON LINK
,,,,,,
,SEÑALIZACION HORIZONTAL Y VERTICAL EN VIAS Y PARQUEOS - TODO COSTO,,,,,
,"Paragomas en hormigón, suministro, instalación y pintura",UND,"RD$3,500.00","RD$2,966.10",,Andrés Castillo Señalizaciones
,Paragomas en hormigón (solo suministro sin pintar),UND,"RD$1,950.00","RD$1,652.54",,Andrés Castillo Señalizaciones
,"Paragomas de goma, todo costo",UND,"RD$2,500.00","RD$2,118.64",,Andrés Castillo Señalizaciones
,"Pintura de divisiones en parqueos Tipo II en hormigón, todo costo",UND,RD$260.00,RD$220.34,,Andrés Castillo Señalizaciones
,"Pintura de divisiones en parqueos Tipo II en asfalto, todo costo",UND,RD$280.00,RD$237.29,,Andrés Castillo Señalizaciones
,"Pintura de Flechas de señalización vial, todo costo",UND,"RD$2,000.00","RD$1,694.92",,Andrés Castillo Señalizaciones
,"Pintura de parqueo de incapacitados/embarazadas, todo costo",UND,"RD$3,500.00","RD$2,966.10",,Andrés Castillo Señalizaciones
,"Números de parqueos/aptos en alocubón en pared, todo costo",UND,RD$300.00,RD$254.24,,Andrés Castillo Señalizaciones
,"Protectores de goma en columnas de parqueos, todo costo",UND,RD$750.00,RD$635.59,,Andrés Castillo Señalizaciones
,"Letreros de altura máxima, todo costo",UND,"RD$2,500.00","RD$2,118.64",,Andrés Castillo Señalizaciones
,"Espejos de entrada y salida parqueos, todo costo",UND,"RD$2,000.00","RD$1,694.92",,Andrés Castillo Señalizaciones
,"Reductor de velocidad tipo policía acostado en goma, todo costo",ML,"RD$3,000.00","RD$2,542.37",,Andrés Castillo Señalizaciones
,"Reductores de velocidad en aluminio tipo calderito, todo costo",UND,RD$510.00,RD$432.20,,Andrés Castillo Señalizaciones
,"Delineadores Reflectivos (ojos de gato), todo costo",UND,RD$350.00,RD$296.61,,Andrés Castillo Señalizaciones
,"Topes en metal y goma para furgones en rampas de carga, todo costo",UND,"RD$6,500.00","RD$5,508.47",,MINIBANNER CON LINK
,"Paragomas para vehiculos livianos pintados, solo suministro 1.80m x 0.15m",UND,RD$950.00,RD$805.08,,MINIBANNER CON LINK
,"Paragomas para vehiculos livianos sin pintar, solo suministro",UND,RD$950.00,RD$805.08,,MINIBANNER CON LINK
,"Paragomas para vehiculos pesados pintados, solo suministro 1.80m x 0.20m",UND,"RD$1,180.00","RD$1,000.00",,MINIBANNER CON LINK
,"Paragomas para vehiculos pesados sin pintar, solo suministro",UND,"RD$1,000.00",RD$847.46,,MINIBANNER CON LINK
,"Muro New Jersey 2.40m x 0.85m pintado, solo suministro",UND,"RD$19,950.00","RD$16,906.78",,MINIBANNER CON LINK
,"Muro New Jersey 2.40m x 0.85m sin pintar, solo suministro",UND,"RD$18,950.00","RD$16,059.32",,MINIBANNER CON LINK
,"Murete (Divisiones en calles) 1.00m x 0.30m pintado, solo suministro",UND,"RD$2,124.00","RD$1,800.00",,MINIBANNER CON LINK
,"Murete (Divisiones en calles) 1.00m x 0.30m sin pintar, solo suministro",UND,"RD$1,770.00","RD$1,500.00",,MINIBANNER CON LINK
,"Ladrillos de hormigón 0.10m x 0.06m, suministro",M2,RD$185.00,RD$156.78,,MINIBANNER CON LINK
,"Pavigrama, suministro",M2,"RD$1,100.00",RD$932.20,,MINIBANNER CON LINK
,,,,,,
,COMBUSTIBLES Y ACEITES,,,,,
,Gasolina regular,GL,RD$277.50,RD$277.50,,MINIBANNER CON LINK
,Gasolina Premium,GL,RD$295.10,RD$295.10,,MINIBANNER CON LINK
,Gasoil Regular,GL,RD$229.80,RD$229.80,,MINIBANNER CON LINK
,Gasoil Premium,GL,RD$247.10,RD$247.10,,MINIBANNER CON LINK
,Aceite 15W-40,QT,RD$410.00,RD$410.00,,MINIBANNER CON LINK
,Aceite 10W-30,QT,RD$390.00,RD$390.00,,MINIBANNER CON LINK
,,,,,,
,DIVISAS,,,,,
,Dólar US,UND,RD$61.43,RD$61.43,,MINIBANNER CON LINK
,Euro EU,UND,RD$70.46,RD$70.46,,MINIBANNER CON LINK
,,,,,,
,TOPOGRAFIA - TODO COSTO,,,,,
,Brigada Topográfica con Estación Total - Todo Costo,DIA,"RD$26,000.00","RD$26,000.00",,MINIBANNER CON LINK
,Brigada Topográfica con Estación Total - Todo Costo,MES,"RD$280,000.00","RD$280,000.00",,MINIBANNER CON LINK
,,,,,,
,EQUIPOS PESADOS - ALQUILER**,,,,,
